MaNGAID,OBJRA,OBJDEC
1-120636,4.00497245148,16.025960125
1-120651,4.18096356669,15.1525541786
1-120663,4.42733,15.33568
1-120677,6.72383942232,14.1837708969
1-120697,6.40198340771,14.1152744658
1-120728,5.93277928294,14.306715696
1-120743,5.81195592668,14.8095505605
1-120750,5.68606041105,14.9496947413
1-120779,4.91161473597,14.7003202754
1-120793,4.70333033859,14.7830526147
1-120798,4.93620678116,15.8584830694
1-120803,4.78434117908,15.7493356389
1-120817,5.03182103705,15.7956155898
1-120829,4.98978146939,15.0922151083
1-120872,5.79571291856,15.3889970096
1-120892,6.5731,15.48931
1-120918,6.65464268341,16.2242883462
1-120920,6.82394466351,15.9126171144
1-120935,114.775045083,29.1600739978
1-120941,114.610230102,28.9630777324
1-120943,114.635528012,29.1855193993
1-120955,114.162494128,28.5267670776
1-120967,114.177125896,29.3049107417
1-121023,113.048715618,28.8954305789
1-121035,113.678445152,30.0188958222
1-121075,114.695391123,29.8912832677
1-121151,115.479932675,31.4115350652
1-121202,114.636984214,31.1780871519
1-121206,114.500662552,31.2492796696
1-121209,115.005960084,32.194585629
1-121218,116.08278223,32.8105954402
1-121235,116.36044117,32.2681422697
1-121236,116.374106433,32.2937635561
1-121277,116.940641539,32.4322540414
1-121330,118.134870244,33.4816521327
1-121334,118.813053873,33.6421529369
1-121375,117.924465862,33.7528784353
1-121387,117.362640441,33.8354345075
1-121413,116.980811711,34.0367066983
1-121486,117.518331889,34.479317451
1-121523,118.082983546,34.5749683068
1-121532,118.09111,34.32657
1-121546,118.354928416,34.275716274
1-121566,118.607586613,35.0728723806
1-121576,118.855331262,35.1102360794
1-121598,119.117532641,34.7525277078
1-1216,150.782690174,0.0451664275529
1-121604,119.259924286,34.2736250131
1-121607,120.711475847,35.7735595945
1-121612,121.146375974,35.9977434187
1-121622,120.195154664,35.5294127325
1-121697,119.18781199,35.5041889433
1-121717,118.803430825,35.5967997097
1-121735,118.318165157,35.5725757854
1-121737,118.291306687,35.9325202653
1-121747,118.173710436,35.3209421817
1-121773,118.96543,36.31535
1-121784,119.667910183,37.2651193051
1-121789,119.532034412,36.8312692846
1-121803,119.71282153,37.6967584672
1-121837,120.075659949,37.6092531873
1-121851,120.447609463,36.2260578482
1-121871,120.76670425,36.2644893046
1-121911,122.144875082,37.1749904279
1-121923,122.130636583,37.5865756841
1-121936,122.043473817,37.7629023594
1-121947,121.406504036,36.3982971391
1-121951,121.561209049,37.6405216725
1-121959,121.466201503,37.5140925477
1-121973,121.273000921,37.6255983907
1-121992,121.084622616,37.8403587552
1-121994,121.080504667,37.7094315834
1-122002,120.778031862,37.0235574368
1-122044,119.811560997,37.3277476896
1-122054,119.882598143,37.8811718493
1-122057,120.872974251,38.4422802879
1-122059,121.007599808,38.4882074038
